Well,Strain,Biorep,Techrep,Media
A1,,,,R
A2,,,,R
A3,,,,R
A4,,,,R
A5,,,,R
A6,,,,R
A7,,,,R
A8,,,,R
A9,,,,R
A10,,,,R
A11,,,,R
A12,,,,R
B1,,,,R
B2,KN99 (WT),1,1,R
B3,KN99 (WT),2,1,R
B4,KN99 (WT),3,1,R
B5,GAT201,1,1,R
B6,GAT201,2,1,R
B7,GAT201,3,1,R
B8,CAS3,1,1,R
B9,CAS3,2,1,R
B10,CAS3,3,1,R
B11,P2.7ZH (dbl GAT201),1,1,R
B12,,,,R
C1,,,,R
C2,KN99 (WT),1,2,R
C3,KN99 (WT),2,2,R
C4,KN99 (WT),3,2,R
C5,GAT201,1,2,R
C6,GAT201,2,2,R
C7,GAT201,3,2,R
C8,CAS3,1,2,R
C9,CAS3,2,2,R
C10,CAS3,3,2,R
C11,P2.7ZH (dbl GAT201),1,2,R
C12,,,,R
D1,,,,R
D2,KN99 (WT),1,3,R
D3,KN99 (WT),2,3,R
D4,KN99 (WT),3,3,R
D5,GAT201,1,3,R
D6,GAT201,2,3,R
D7,GAT201,3,3,R
D8,CAS3,1,3,R
D9,CAS3,2,3,R
D10,CAS3,3,3,R
D11,P2.7ZH (dbl GAT201),1,3,R
D12,,,,R
E1,,,,R
E2,CNAG_05458,1,1,R
E3,CNAG_05458,2,1,R
E4,CNAG_05458,3,1,R
E5,CCP1,1,1,R
E6,CCP1,2,1,R
E7,CCP1,3,1,R
E8,ISP6,1,1,R
E9,ISP6,2,1,R
E10,ISP6,3,1,R
E11,P2.7ZH (dbl GAT201),2,1,R
E12,,,,R
F1,,,,R
F2,CNAG_05458,1,2,R
F3,CNAG_05458,2,2,R
F4,CNAG_05458,3,2,R
F5,CCP1,1,2,R
F6,CCP1,2,2,R
F7,CCP1,3,2,R
F8,ISP6,1,2,R
F9,ISP6,2,2,R
F10,ISP6,3,2,R
F11,P2.7ZH (dbl GAT201),2,2,R
F12,,,,R
G1,,,,R
G2,CNAG_05458,1,3,R
G3,CNAG_05458,2,3,R
G4,CNAG_05458,3,3,R
G5,CCP1,1,3,R
G6,CCP1,2,3,R
G7,CCP1,3,3,R
G8,ISP6,1,3,R
G9,ISP6,2,3,R
G10,ISP6,3,3,R
G11,P2.7ZH (dbl GAT201),2,3,R
G12,,,,R
H1,,,,R
H2,,,,R
H3,,,,R
H4,,,,R
H5,,,,R
H6,,,,R
H7,,,,R
H8,,,,R
H9,,,,R
H10,,,,R
H11,,,,R
H12,,,,R
